"time","m1","m2","m3","-","--","NA"
82,0.953735617,0.453446877,0.725506796,2,NA,82
83,0.95151678,0.450342649,0.721640674,0.5,NA,83
84,0.950899438,0.452651552,0.717065345,1,NA,84
85,0.948095771,0.454154447,0.714524384,2,NA,85
86,0.941183967,0.450063262,0.709421686,0.5,NA,86
87,0.933621084,0.447352993,0.707446652,0.5,NA,87
88,0.930304406,0.450358014,0.703183914,2,NA,88
89,0.929535898,0.449236855,0.700346478,0.5,NA,89
90,0.924532477,0.448854305,0.69620078,0.5,NA,90
91,0.920489637,0.443270629,0.691617201,2,NA,91
92,0.917376918,0.446113117,0.688342737,0.5,NA,92
93,0.914643876,0.446077419,0.685174176,0.5,NA,93
94,0.91228246,0.44853846,0.680962764,-1,NA,94
95,0.908871531,0.454517266,0.677240142,2,NA,95
96,0.909319626,0.454225953,0.672801061,-1,NA,96
97,0.907003966,0.448123878,0.669983297,0.5,NA,97
98,0.903122907,0.447652963,0.668068025,1,NA,98
99,0.900327241,0.452075633,0.665853219,2,NA,99
100,0.895630995,0.453849662,0.662689089,0.5,NA,100
101,0.890280888,0.455535775,0.658609077,0.5,NA,101
102,0.888746687,0.446931987,0.655734711,1,NA,102
103,0.887271604,0.449293829,0.650663727,2,NA,103
104,0.885464969,0.459472053,0.647546469,0.5,NA,104
105,0.882595827,0.446267445,0.644279396,0.5,NA,105
106,0.8753908,0.454348173,0.642480089,2,NA,106
107,0.869769417,0.454975835,0.640353197,0.5,NA,107
108,0.86602488,0.451414656,0.63773512,0.5,NA,108
109,0.866437842,0.444259214,0.635571969,-1,NA,109
110,0.863012192,0.44650466,0.631266441,2,NA,110
111,0.85604249,0.445482418,0.627043616,0.5,NA,111
112,0.855207736,0.456100646,0.623633506,0.5,NA,112
113,0.853579586,0.451769692,0.619041702,2,NA,113
114,0.848022963,0.454206665,0.61580844,2,NA,114
115,0.841868457,0.447056861,0.613444123,0.5,NA,115
116,0.836992011,0.443487581,0.61013418,0.5,NA,116
117,0.832156997,0.451336038,0.608466212,-1,NA,117
118,0.828060991,0.445550385,0.605655126,2,NA,118
119,0.821423849,0.443927393,0.604375318,0,NA,119
120,0.817495929,0.437096021,0.601712822,0.5,NA,120
121,0.811097768,0.448713209,0.599940523,1,NA,121
122,0.808930262,0.456218525,0.596832157,0,NA,122
123,0.804988703,0.448347443,0.59352599,0.5,NA,123
124,0.800448728,0.452203653,0.592044396,2,NA,124
125,0.798319628,0.454021506,0.587526227,0,NA,125
126,0.794898066,0.457937261,0.585049056,0.5,NA,126
127,0.791928247,0.441066123,0.583785797,1,NA,127
128,0.786449825,0.454637958,0.581556807,2,NA,128
129,0.786896875,0.450035477,0.579589184,0.5,NA,129
130,0.782567423,0.453904511,0.57501949,1,NA,130
131,0.778837049,0.44770914,0.570363672,2,NA,131
132,0.776513225,0.439879922,0.567807567,0.5,NA,132
133,0.775130014,0.450517829,0.564447446,1,NA,133
134,0.773153842,0.448069133,0.562106872,2,NA,134
135,0.771026367,0.453071762,0.559138586,0.5,NA,135
136,0.76869947,0.4393208,0.555603256,1,NA,136
137,0.765253189,0.443063081,0.552575851,2,NA,137
138,0.756921944,0.448545327,0.548870526,0.5,NA,138
139,0.752017732,0.448156832,0.546525716,1,NA,139
140,0.747549647,0.452593927,0.542734676,2,NA,140
141,0.744728418,0.438826898,0.540312529,2,NA,141
142,0.7399439,0.444258957,0.536404725,0.5,NA,142
143,0.735747276,0.437304443,0.533205626,2,NA,143
144,0.735503868,0.445313349,0.529459275,0.5,NA,144
145,0.732409555,0.448326798,0.526358091,2,NA,145
146,0.728538807,0.457471646,0.52145133,0.5,NA,146
147,0.725254514,0.448509349,0.516545886,2,NA,147
148,0.720961178,0.456794796,0.513834919,-1,NA,148
149,0.714761411,0.449156866,0.510636905,2,NA,149
150,0.710389382,0.445108363,0.507646806,0.5,NA,150
151,0.708129804,0.448291889,0.503927862,1,NA,151
152,0.703146687,0.452817856,0.502435821,2,NA,152
153,0.699625416,0.445537617,0.499424124,1,NA,153
154,0.698124305,0.454531726,0.496884075,2,NA,154
155,0.696056937,0.458065984,0.49341072,1,NA,155
156,0.689418258,0.448373603,0.491493531,2,NA,156
157,0.686121602,0.45109433,0.489032223,2,NA,157
158,0.683742115,0.446526983,0.486312539,-1,NA,158
159,0.681977888,0.452711091,0.481159182,1,NA,159
160,0.679373323,0.446077446,0.47855186,-1,NA,160
161,0.67614732,0.457045254,0.47803053,0.5,NA,161
162,0.671873599,0.449856895,0.475164871,1,NA,162
163,0.667288645,0.451491184,0.471975643,0.5,NA,163
164,0.662232041,0.45058241,0.468035579,2,NA,164
165,0.659993634,0.449095295,0.466196979,1,NA,165
166,0.651592907,0.448604419,0.462891816,2,NA,166
167,0.646815701,0.449575307,0.460043083,0.5,NA,167
168,0.640877713,0.458022049,0.456738169,2,NA,168
169,0.637544685,0.448630543,0.455245446,1,NA,169
170,0.633694914,0.442686374,0.452239639,2,NA,170
171,0.631621521,0.456379453,0.450086689,1,NA,171
172,0.630208506,0.445599494,0.448447227,8,NA,172
173,0.625736918,0.454262971,0.444908415,2,NA,173
174,0.623194365,0.454383824,0.441139212,2,NA,174
175,0.616051783,0.456796042,0.437721434,1,NA,175
176,0.614466021,0.449270263,0.433798079,-1,NA,176
177,0.609739614,0.444219692,0.431112238,2,NA,177
178,0.601049225,0.46131891,0.429580003,0,NA,178
179,0.599671128,0.446361422,0.426525347,2,NA,179
180,0.597095749,0.453148127,0.425221833,1,NA,180
181,0.590809735,0.457524232,0.422750296,2,NA,181
182,0.588047373,0.449858583,0.418947587,-1,NA,182
183,0.585407308,0.458327661,0.41704817,1,NA,183
184,0.580870127,0.449595015,0.413834253,2,NA,184
185,0.576160976,0.447093542,0.411279484,-1,NA,185
186,0.570292159,0.445441587,0.406779038,2,NA,186
187,0.564534446,0.454573044,0.402476668,1,NA,187
188,0.561154759,0.448485786,0.4,2,NA,188
189,0.560989286,0.449658086,0.400108688,0.5,NA,189
190,0.560548626,0.450742098,0.399156511,2,NA,190
191,0.554339695,0.457459326,0.400185395,1,NA,191
192,0.552160532,0.451149812,0.39935944,1,NA,192
193,0.546600381,0.442198467,0.400026737,2,NA,193
194,0.541203497,0.452118893,0.400392534,1,NA,194
195,0.536487188,0.445074571,0.399527485,1,NA,195
196,0.532034847,0.446963499,0.399180557,-1,NA,196
197,0.530113755,0.457291725,0.399287486,0.5,NA,197
198,0.522001877,0.443255449,0.399723268,1,NA,198
199,0.51669808,0.446930478,0.399994104,2,NA,199
200,0.514583202,0.454067092,0.399098023,2,NA,200
201,0.512212967,0.443187219,0.400769107,0.5,NA,201
202,0.510504149,0.453647486,0.399999843,1,NA,202
203,0.504547671,0.4490793,0.400522803,-1,NA,203
204,0.501962335,0.453549201,0.400324351,1,NA,204
205,0.50160119,0.444508472,0.398838886,6,NA,205
206,0.501407187,0.452115317,0.400118103,1,NA,206
207,0.497225348,0.453430129,0.399445329,1,NA,207
208,0.494637968,0.450151693,0.399876258,1,NA,208
209,0.49360577,0.44650087,0.399856446,0,NA,209
210,0.490103134,0.441718724,0.399600516,2,NA,210
211,0.488967144,0.444687211,0.400794457,0,NA,211
212,0.482709233,0.445366254,0.400126207,1,NA,212
213,0.480308361,0.446765407,0.399212311,2,NA,213
214,0.476161055,0.447558859,0.400172416,0,NA,214
215,0.474951672,0.452318694,0.400332843,-1,NA,215
216,0.473229587,0.445653253,0.399465198,0,NA,216
217,0.474875326,0.446289443,0.400441736,0,NA,217
218,0.473045986,0.444873861,0.399585923,0,NA,218
219,0.467096679,0.448502401,0.399607948,0,NA,219
220,0.464577321,0.457702543,0.40011286,-1,NA,220
221,0.46065207,0.438148988,0.399786906,0,NA,221
222,0.456281689,0.441455282,0.400391806,-1,NA,222
223,0.453550602,0.452262713,0.40048649,0,NA,223
224,0.448430707,0.449957105,0.399207343,-1,NA,224
225,0.444703245,0.455495578,0.400088115,2,NA,225
226,0.44004572,0.461548913,0.399612315,8,NA,226
227,0.435516421,0.449057931,0.400215912,0,NA,227
228,0.433370004,0.456158584,0.399698043,-1,NA,228
229,0.431181814,0.445722104,0.400477885,0,NA,229
230,0.430315918,0.453219509,0.401355711,1,NA,230
231,0.429364112,0.444003046,0.399624468,2,NA,231
232,0.422524475,0.448535473,0.399324184,0,NA,232
233,0.419502257,0.446071365,0.400417002,1,NA,233
234,0.415687695,0.448817077,0.399908863,1,NA,234
235,0.410122315,0.445884581,0.399880486,1,NA,235
236,0.408355945,0.449200188,0.400354711,-1,NA,236
237,0.40446241,0.446739722,0.399640725,0,NA,237
238,0.403528023,0.453545991,0.399452861,1,NA,238
239,0.394876426,0.453608839,0.399788673,1,NA,239
240,0.389451621,0.452875319,0.400663244,1,NA,240
241,0.40985159,0.447130036,0.399682053,0,NA,241
242,0.390346505,0.449324152,0.399934176,0,NA,242
243,0.401470928,0.448088998,0.39987968,1,NA,243
244,0.391216239,0.442735154,0.400328216,-1,NA,244
245,0.393020497,0.453541108,0.400140506,2,NA,245
246,0.400084105,0.451926192,0.399334083,0,NA,246
247,0.39465048,0.452089051,0.40027805,2,NA,247
248,0.391938978,0.44808901,0.40097605,-1,NA,248
249,0.410614032,0.445251791,0.400715736,0,NA,249
